26.798	-10.877	17.762
-11.9	0.43736	17.917
13.042	-24.79	-17.503
24.278	-28.968	-5.4009
-24.49	28.788	-10.758
12.529	11.122	-12.651
-23.283	26.353	-13.99
-11.18	36.035	-5.292
12.578	-30.181	-13.845
-25.206	-3.5788	-10.604
35.755	0.41855	-0.72642
6.6957	17.112	-2.214
-19.644	29.982	-3.4392
5.8991	33.682	-11.48
-9.4111	-15.334	15.222
-9.2777	8.2054	14.375
20.093	4.6689	18.484
8.0959	8.4954	-14.33
-23.07	30.149	-21.263
-2.0569	10.555	-11.957
21.675	15.675	-5.3591
-18.589	25.829	-12.16
-0.39642	33.122	-4.94
29.77	-12.739	-13.188
8.0967	-2.3292	24.02
7.0439	-25.838	-17.523
26.516	-6.7759	19.158
15.388	1.6869	21.165
43.262	-18.515	0.77364
-16.513	30.913	-0.61628
2.4688	-14.075	-22.43
18.44	-30.118	-12.383
-4.508	-29.76	5.2274
26.179	-2.3184	18.999
25.871	0.49141	18.451
-6.3945	-30.419	-15.487
-19.657	27.163	-19.739
-18.34	30.83	3.6907
15.529	-30.171	0.71644
-10.884	-29.928	15.529
3.78	-24.337	-18.301
-8.2308	-18.321	-10.236
-15.419	-28.805	18.933
3.4231	43.157	-15.81
-29.554	19.056	19.581
-16.973	-15.771	-6.8772
30.439	-29.073	-0.60732
13.008	-18.79	-20.415
4.0325	-4.1882	-23.569
-5.7941	-29.508	7.8804
36.273	-6.7185	5.342
-28.985	2.2312	10.02
11.099	-2.3237	24.054
-19.177	-26.06	1.8356
-33.144	13.811	0.83124
-28.17	-9.4232	-0.54788
9.6055	10.945	-12.342
-19.659	25.882	-15.095
30.125	-22.849	11.478
18.52	-23.064	19.876
-24.756	-9.8365	11.472
0.82248	-28.783	22.66
-21.215	-12.491	-7.7773
22.69	5.0554	-13.794
12.605	-27.675	11.28
12.71	13.97	-9.6899
-5.1525	32.966	-3.7369
5.1911	-27.76	12.711
-32.257	24.469	8.0208
-10.49	19.952	5.4118
6.7461	-16.877	-22.359
36.949	-22.863	-6.1412
-16.828	-17.528	5.3435
4.6733	46.082	-13.919
